time_stamp,lat,lon,alt
2026-01-13T07:29:42.848000,24.9424733,121.3679418,42.21
2026-01-13T07:29:43.348000,24.9424595,121.3679411,42.21
2026-01-13T07:29:43.848000,24.9424595,121.3679411,42.21
2026-01-13T07:29:44.349000,24.9424464,121.3679417,42.26
2026-01-13T07:29:44.850000,24.9424464,121.3679417,42.26
2026-01-13T07:29:45.352000,24.9424334,121.3679435,42.30
2026-01-13T07:29:45.852000,24.9424334,121.3679435,42.30
2026-01-13T07:29:46.352000,24.9424203,121.3679464,42.34
2026-01-13T07:29:46.853000,24.9424203,121.3679464,42.34
2026-01-13T07:29:47.354000,24.9424082,121.3679509,42.37
2026-01-13T07:29:47.855000,24.9424082,121.3679509,42.37
2026-01-13T07:29:48.356000,24.9423965,121.3679571,42.46
2026-01-13T07:29:48.857000,24.9423965,121.3679571,42.46
2026-01-13T07:29:49.358000,24.9423852,121.3679637,42.46
2026-01-13T07:29:49.859000,24.9423852,121.3679637,42.46
2026-01-13T07:29:50.359000,24.9423739,121.3679707,42.49
2026-01-13T07:29:50.860000,24.9423739,121.3679707,42.49
2026-01-13T07:29:51.361000,24.9423634,121.3679778,42.45
2026-01-13T07:29:51.862000,24.9423634,121.3679778,42.45
2026-01-13T07:29:52.363000,24.9423523,121.3679849,42.36
2026-01-13T07:29:52.864000,24.9423523,121.3679849,42.36
2026-01-13T07:29:53.365000,24.9423428,121.3679909,42.28
2026-01-13T07:29:53.866000,24.9423428,121.3679909,42.28
2026-01-13T07:29:54.367000,24.9423338,121.3679966,42.25
2026-01-13T07:29:54.868000,24.9423338,121.3679966,42.25
2026-01-13T07:29:55.369000,24.9423255,121.3680019,42.26
2026-01-13T07:29:55.870000,24.9423255,121.3680019,42.26
2026-01-13T07:29:56.371000,24.9423179,121.3680066,42.42
2026-01-13T07:29:56.872000,24.9423179,121.3680066,42.42
2026-01-13T07:29:57.373000,24.9423107,121.3680102,42.54
2026-01-13T07:29:57.874000,24.9423107,121.3680102,42.54
2026-01-13T07:29:58.374000,24.9423030,121.3680141,42.64
2026-01-13T07:29:58.874000,24.9423030,121.3680141,42.64
2026-01-13T07:29:59.375000,24.9422965,121.3680175,42.71
2026-01-13T07:29:59.876000,24.9422965,121.3680175,42.71
2026-01-13T07:30:00.377000,24.9422912,121.3680200,42.73
2026-01-13T07:30:00.878000,24.9422912,121.3680200,42.73
2026-01-13T07:30:01.378000,24.9422852,121.3680230,42.56
2026-01-13T07:30:01.879000,24.9422852,121.3680230,42.56
2026-01-13T07:30:02.380000,24.9422796,121.3680265,42.40
2026-01-13T07:30:02.881000,24.9422796,121.3680265,42.40
2026-01-13T07:30:03.382000,24.9422738,121.3680301,42.16
2026-01-13T07:30:03.883000,24.9422738,121.3680301,42.16
2026-01-13T07:30:04.384000,24.9422672,121.3680346,41.87
2026-01-13T07:30:04.884000,24.9422672,121.3680346,41.87
2026-01-13T07:30:05.384000,24.9422589,121.3680398,41.47
2026-01-13T07:30:05.885000,24.9422589,121.3680398,41.47
2026-01-13T07:30:06.386000,24.9422502,121.3680450,41.16
2026-01-13T07:30:06.887000,24.9422502,121.3680450,41.16
2026-01-13T07:30:07.387000,24.9422414,121.3680503,40.84
2026-01-13T07:30:07.888000,24.9422414,121.3680503,40.84
2026-01-13T07:30:08.389000,24.9422319,121.3680556,40.53
2026-01-13T07:30:08.890000,24.9422319,121.3680556,40.53
2026-01-13T07:30:09.391000,24.9422242,121.3680631,40.34
2026-01-13T07:30:09.892000,24.9422242,121.3680631,40.34
2026-01-13T07:30:10.393000,24.9422172,121.3680741,40.18
2026-01-13T07:30:10.894000,24.9422172,121.3680741,40.18
2026-01-13T07:30:11.394000,24.9422103,121.3680853,39.93
2026-01-13T07:30:11.895000,24.9422103,121.3680853,39.93
2026-01-13T07:30:12.396000,24.9422053,121.3680961,39.89
2026-01-13T07:30:12.897000,24.9422053,121.3680961,39.89
2026-01-13T07:30:13.398000,24.9422005,121.3681056,39.95
2026-01-13T07:30:13.898000,24.9422005,121.3681056,39.95
2026-01-13T07:30:14.398000,24.9421929,121.3681124,39.98
2026-01-13T07:30:14.899000,24.9421929,121.3681124,39.98
2026-01-13T07:30:15.400000,24.9421844,121.3681157,40.04
2026-01-13T07:30:15.901000,24.9421844,121.3681157,40.04
2026-01-13T07:30:16.402000,24.9421759,121.3681182,40.08
2026-01-13T07:30:16.903000,24.9421759,121.3681182,40.08
2026-01-13T07:30:17.404000,24.9421649,121.3681204,40.20
2026-01-13T07:30:17.905000,24.9421649,121.3681204,40.20
2026-01-13T07:30:18.406000,24.9421534,121.3681237,40.20
2026-01-13T07:30:18.906000,24.9421534,121.3681237,40.20
2026-01-13T07:30:19.407000,24.9421399,121.3681256,40.14
2026-01-13T07:30:19.907000,24.9421399,121.3681256,40.14
2026-01-13T07:30:20.409000,24.9421247,121.3681263,40.12
2026-01-13T07:30:20.910000,24.9421247,121.3681263,40.12
2026-01-13T07:30:21.410000,24.9421085,121.3681272,40.17
2026-01-13T07:30:21.911000,24.9421085,121.3681272,40.17
2026-01-13T07:30:22.412000,24.9420935,121.3681294,40.09
2026-01-13T07:30:22.912000,24.9420935,121.3681294,40.09
2026-01-13T07:30:23.414000,24.9420821,121.3681349,40.10
2026-01-13T07:30:23.915000,24.9420821,121.3681349,40.10
2026-01-13T07:30:24.416000,24.9420742,121.3681446,40.19
2026-01-13T07:30:24.917000,24.9420742,121.3681446,40.19
2026-01-13T07:30:25.417000,24.9420691,121.3681573,40.26
2026-01-13T07:30:25.919000,24.9420691,121.3681573,40.26
2026-01-13T07:30:26.419000,24.9420671,121.3681717,40.29
